Probe Set ID	LL0322071101	LL0322071102	LL0322071103	LL0322071104	LL0322071105	LL0322071106	LL0322072101	LL0322072102	LL0322072103	LL0322072104	LL0322072105	LL0322072106	LL0322075101	LL0322075102	LL0322075103	LL0322075104	LL0322075105	LL0322075106	LL0322076101	LL0322076102	LL0322076103	LL0322076105	LL0322076106
1367709_at	9.8930	9.5650	9.4410	10.3070	9.6450	9.5340	10.7720	10.9640	10.4750	10.6220	10.9310	10.8450	9.4000	10.5180	9.6170	10.4810	10.4670	9.8370	10.9620	11.1550	11.2340	10.9240	10.9290
1367811_at	7.2150	7.1180	7.1860	7.2600	7.2750	7.0960	7.8630	7.8680	7.7200	7.7810	8.0290	7.7520	7.1520	8.3570	7.5900	9.1250	7.4680	8.1390	9.1830	9.0180	10.4570	10.2960	8.7430
1367939_at	11.3260	11.0220	11.8950	11.6710	11.6310	11.4920	10.6140	10.3270	10.5760	10.3890	10.6350	10.2670	11.6630	11.6770	11.7040	11.2030	11.6570	11.5530	10.5070	11.1510	10.3970	10.4310	10.2400
1368121_at	10.4980	9.8590	10.5910	10.4340	10.7200	10.1530	12.7970	12.2690	12.5450	12.5880	12.6540	12.6300	12.0100	12.8410	12.0080	13.5580	12.4090	12.5970	12.9050	12.5760	13.6970	13.3270	12.8430
1368160_at	9.8950	10.7740	11.6510	11.1800	12.1020	12.5690	12.3510	11.9210	12.0620	11.7920	12.2990	12.0930	8.6120	12.1340	11.2310	12.0210	11.0770	11.8060	13.5160	12.7620	12.2100	11.8610	13.4390
1368168_at	11.0660	9.9760	11.2310	11.0680	10.4800	9.9530	8.9330	7.6990	8.5320	9.1760	9.5250	8.7950	9.3340	8.3850	8.0570	7.8390	8.4380	8.4210	7.3300	8.3350	8.2940	8.2710	7.4470
1368426_at	11.1940	11.1860	12.0430	11.5910	11.2660	12.0790	10.4430	10.0130	10.5720	10.8190	10.7420	10.3270	11.6550	10.5200	10.8940	10.0920	11.3830	11.0680	7.8070	10.1560	8.7860	9.5700	8.2770
1368447_x_at	7.8470	7.9640	8.4800	8.5990	7.6600	8.1080	9.5490	9.9420	10.0260	9.0780	9.7560	9.6540	7.4510	7.0720	7.0730	6.5510	7.3210	7.1740	10.2720	10.1990	8.3390	8.5180	9.6300
1368453_at	11.0820	11.5190	11.4130	11.5190	11.1660	11.2700	12.3580	12.0650	11.8800	12.2310	12.3610	12.1290	10.8350	10.5380	9.7010	9.5870	10.0730	9.7450	12.6080	12.9470	11.5260	12.2260	12.5060
1368497_at	11.1650	11.1260	11.4660	11.3820	11.2560	11.2660	8.5300	8.5690	8.6610	8.9770	8.5170	8.9470	12.1660	11.9210	11.8700	12.2870	11.7540	12.0290	9.1690	9.2540	8.4280	8.7230	8.7490
1368520_at	13.3920	13.4790	13.4720	13.3550	13.4180	13.4100	9.6480	10.3850	10.2840	9.9850	10.8310	9.7790	12.1790	11.5370	12.3810	11.8820	12.2070	11.7890	9.5410	9.3200	8.9760	9.6630	8.9850
1368569_at	6.5330	9.0200	6.4890	6.6780	6.6910	6.6750	6.4060	6.3220	6.5440	6.5480	6.2210	6.5670	6.5580	9.7440	10.0140	11.2180	6.6380	10.1740	6.2100	6.6510	8.2970	7.1160	6.4770
1368718_at	6.0070	9.0450	7.2710	9.4320	6.0510	7.7970	6.0940	5.8710	5.9160	6.0210	6	5.9820	13.2870	13.6200	13.5390	13.6180	13.4200	6.2000	6.1380	6.1520	6.0680	6.2300	6.1490
1368736_at	6.3180	6.4760	6.2610	6.0940	6.2340	6.1980	9.5000	9.8370	8.6440	9.4490	9.6290	9.1400	6.1900	6.2090	5.7990	6.0680	5.7590	6.0560	7.8710	9.6230	7.2680	8.4500	7.8470
1368762_at	11.2300	11.6810	12.4930	12.6240	10.7760	11.2710	8.7850	8.9770	9.1900	8.9540	8.9650	8.8880	10.0560	10.6610	10.8170	9.5540	10.1500	10.1650	9.0160	8.1720	8.6550	8.5470	8.6570
1369224_at	10.5360	9.6740	8.6330	8.7700	9.2920	9.1660	11.9890	11.4050	11.6990	11.3480	11.6740	11.9190	8.4400	8.4520	8.3310	8.6880	9.3140	10.3710	10.9450	10.1580	11.4480	10.5800	11.5360
1369259_at	7.5740	7.6510	7.8230	7.6740	7.6780	7.5810	8.6490	8.5790	8.7340	8.3410	8.7960	8.4830	7.1350	6.8610	7.0280	6.6150	6.6720	6.8750	7.5470	8.4330	8.0250	7.9480	7.8550
1369415_at	8.6120	7.8260	8.5520	9.0580	8.3390	8.1980	6.8390	7.1370	6.8600	7.2530	6.3340	7.0360	8.6790	6.8330	7.0600	7.2780	6.9670	6.5720	6.0650	7.2630	6.7010	6.3420	6.0040
1369655_at	8.5000	8.5890	9.3090	9.2850	8.6820	9.1840	8.3230	8.0870	8.1710	8.0050	8.2630	8.0800	9.3170	9.3490	9.2220	9.5690	9.1970	9.2920	7.9260	7.9060	7.4990	7.8510	7.8440
1369840_at	10.3090	10.8340	10.5170	10.8240	10.3590	10.0890	8.7720	9.6280	8.3860	8.8820	8.8520	7.7880	11.6970	12.1500	12.0120	11.8740	11.6040	11.9580	10.9840	11.2080	11.3700	11.4020	10.8500
1369864_a_at	9.3290	9.9740	9.3500	8.9000	10.0540	10.9270	10.8310	12.0720	10.4220	10.4430	9.5300	10.7880	7.7040	8.5600	8.8890	8.3820	8.3820	8.7860	12.6440	8.9380	8.1350	8.8850	11.0760
1370024_at	10.6080	11.9940	11.2480	12.0520	11.8350	11.8920	10.1010	9.5350	10.0280	9.7040	9.8760	9.9070	11.4410	10.6680	11.3420	9.8720	11.3340	11.5320	9.6420	10.1690	8.7620	9.0050	9.6310
1370067_at	9.3140	9.4240	9.7040	9.1220	9.5470	9.3680	10.9110	10.9730	10.5920	11.0530	11.5180	10.9840	10.4970	10.7350	10.3330	10.8530	10.6830	10.7080	11.0030	11.8410	11.2250	11.2130	11.0290
1370428_x_at	6.0740	6.1490	6.0930	6.3660	6.1740	6.5470	12.3700	12.2870	12.3210	12.3220	12.3870	12.3310	6.4170	6.0060	6.2150	6.2050	5.7080	5.9070	12.4840	12.3690	12.3660	12.3070	12.3960
1370870_at	8.6250	8.0990	9.1890	8.3860	8.7680	8.5900	10.3450	10.4350	10.0140	10.5020	11.4030	10.6370	9.7030	10.0150	9.8360	10.7630	9.6950	10.0600	10.0050	11.4590	10.7830	10.6010	10.0270
1370988_at	11.8850	11.7470	9.3070	9.4000	11.7960	9.3780	12.7090	12.3500	12.7780	12.6400	12.7530	12.6380	12.3430	8.7680	8.7860	9.0600	8.7440	8.7150	13.0930	12.7930	12.9830	13.0260	13.1900
1371033_at	9.5770	9.8820	9.9560	9.3350	10.1210	10.1610	7.9050	8.0500	8.0480	7.8120	8.0060	8.1770	10.2250	10.2020	9.2130	9.7240	9.9790	10.3440	8.2230	7.9130	7.7980	8.1330	8.2100
1371065_at	7.1120	7.7890	7.0630	7.6770	6.9910	7.7160	9.6160	9.1490	9.2160	9.1600	9.6360	9.0990	7.4590	7.3720	7.2820	7.1480	6.9490	7.4410	9.5380	9.3580	9.1670	9.3350	9.3110
1371089_at	8.1050	8.0850	7.8550	7.7590	8.5990	7.8950	11.7060	11.4060	11.5420	11.6430	11.5350	11.4210	10.9480	12.2720	11.5610	12.3650	11.3300	12.0020	12.6510	12.7510	12.8900	12.5760	12.4990
1371171_at	8.7030	8.0840	9.1710	8.6040	8.3070	8.1850	6.4860	6.3420	6.4360	6.8090	6.5740	6.4290	8.6360	7.2260	8.4600	8.5020	8.7750	8.8890	6.3490	6.3130	6.2120	6.3510	6.3530
1371245_a_at	12.5590	11.7810	12.8060	13.0630	11.7670	12.5740	10.3000	10.2310	10.2110	10.1070	10.0830	10.1680	10.9770	10.8590	10.0620	10.4530	11.4460	9.7770	7.9830	9.2060	6.6810	7.0770	7.1680
1371412_a_at	12.1780	12.2830	12.8980	12.4900	12.2620	12.3830	11.6140	11.3350	11.6510	11.2630	11.2580	11.6560	11.9040	10.8300	11.5330	8.6510	11.5510	10.9690	8.4660	10.6140	8.8910	9.4960	8.7290
1371732_at	12.4750	11.8390	12.0480	11.3630	12.4130	11.5630	12.7290	12.5450	12.6890	12.7180	12.8920	12.6060	11.3060	10.8750	11.0120	10.7170	10.9060	11.2570	12.6630	12.7720	11.8680	12.4450	12.4420
1371942_at	11.6660	10.0980	10.5440	10.5770	11.2300	11.7440	13.1920	12.9580	13.1380	12.9480	13.0750	13.0890	12.1640	12.5300	11.7640	12.0020	11.7990	10.7370	12.9150	13.0400	12.8080	12.5900	12.7050
1372973_at	8.8600	8.5430	8.9220	8.8530	8.9110	8.6880	10.6600	10.4270	10.2370	10.3420	10.7180	10.5480	9.6800	8.9870	8.8750	8.4620	8.8380	8.8450	10.0190	11.1250	10.5630	10.8300	9.8880
1373053_at	9.3940	8.9830	10.1770	10.1020	9.8340	9.2760	8.3640	8.3190	8.3880	8.2220	8.5640	8.2260	10.4670	10.7280	10.8520	11.1360	9.9660	10.3630	8.5030	8.3440	8.4710	8.3850	8.3720
1373254_at	5.3560	5.5520	5.7970	5.6000	5.6540	5.5760	7.7810	6.9360	7.6870	7.2300	7.8670	7.7680	5.6170	5.4250	5.6380	5.7140	5.3130	5.3510	6.7780	8.0700	6.5010	6.6860	6.7770
1373403_at	6.9960	7.2340	7.8670	7.5340	7.8180	7.9690	9.7810	9.1180	9.3490	9.3850	9.8840	9.8010	7.4160	6.8890	6.9880	7.3280	6.9340	7.1870	9.1690	8.4530	7.3340	7.1710	8.6810
1373692_at	10.0870	10.2090	10.2150	9.9790	10.6220	10.4510	11.4900	12.7580	12.0890	11.2720	11.4730	12.2110	9.5660	9.6150	9.7260	9.5000	9.5710	9.6650	11.5490	9.9280	9.5730	9.4720	10.8720
1373740_at	7.6450	6.5860	7.7200	7.2210	6.9760	6.9230	6.4320	6.1600	6.4650	6.0360	6.1320	6.1330	7.5240	7.3140	6.9420	6.5160	7.2210	6.6060	6.0470	5.8280	6.0110	5.9230	5.9160
1373773_at	5.4770	5.2770	9.1740	8.8820	5.6300	7.8930	5.2700	5.5430	5.3810	5.3370	5.0260	5.7460	5.1950	8.8830	7.8460	7.5890	9.0340	7.8020	5.2560	4.8790	5.3070	5.1300	5.1560
1373778_at	8.6010	8.2280	8.3300	8.0750	7.7550	7.7840	9.6370	9.0390	9.1060	9.4800	9.8220	9.4360	8.8280	8.7910	8.3970	8.1150	7.9510	8.5060	8.9410	10.2510	9.1370	9.2840	8.8800
1373947_at	12.8240	12.4080	12.5090	12.1420	12.8130	12.0850	13.2890	13.2290	13.2990	13.4180	13.3790	13.2540	11.7750	11.3000	11.3630	11.0670	11.3930	11.4440	13.2580	13.2720	12.2920	12.9700	13.0160
1374251_at	7.9390	8.2540	9.4250	8.5870	8.3440	8.1140	5.9070	5.9470	6.1450	5.9580	5.6600	6.0810	7.2020	6.0230	6.5790	5.8600	6.1500	6.1070	5.7770	5.8010	5.9990	5.9410	5.9540
1376271_at	7.4810	7.5560	7.8740	7.7090	7.4850	7.9230	6.0690	6.0870	5.9880	6.0320	5.4900	5.8730	7.7150	7.9320	7.5050	7.5140	6.9310	7.4350	5.6430	5.0280	5.5690	5.7340	5.5030
1376688_a_at	7.7600	8.6570	8.8430	8.3300	8.0980	8.9310	6.7080	6.8290	6.8770	6.7050	6.7460	6.6030	8.5510	8.2870	7.4970	8.4360	7.8720	8.7740	7.0300	6.6050	6.7140	6.4300	6.5990
1377133_at	4.5600	4.5800	4.3950	4.4580	4.5980	4.4420	5.5580	5.9330	5.6600	5.1500	6.0100	5.4880	4.5390	4.4850	4.4810	4.4550	4.5470	4.6170	6.6410	5.9920	6.2520	6.2290	6.4530
1377151_at	8.1280	6.5980	6.5030	6.8480	7.7190	6.8790	8.8040	8.7230	8.6520	8.7190	8.9870	8.6870	6.6790	7.4740	8.2480	6.1330	6.4280	7.8190	8.3520	8.3640	8.1990	8.5580	8.1750
1377774_at	8.7800	8.3960	8.7710	8.8740	9.0240	8.7220	7.8400	8.0450	7.6650	7.6390	7.8950	7.6550	9.3410	10.0130	9.2210	10.3200	9.3140	9.4750	8.1000	7.8250	8.1680	8.3050	7.9530
1377950_at	11.8240	12.4240	10.0400	12.2420	12.3800	12.8250	8.8170	8.5900	8.9250	8.9610	8.8000	9.3110	11.6030	11.3170	9.2710	9.8240	11.4120	11.4630	8.1850	8.4400	8.1040	8.1910	8.1280
1378413_at	8.5160	7.9690	8.3140	8.2100	9.2500	8.2810	7.4650	7.6090	8.0110	7.7910	7.0990	8.0120	9.4570	9.3520	8.7380	8.5630	9.3300	9.6010	7.2920	7.0920	7.2160	7.2210	7.6740
1379285_at	10.6850	10.9890	11.3410	11.3420	10.6180	10.8740	9.4180	9.0770	9.6710	9.9900	9.6070	9.9600	11.3540	10.7170	11.8320	9.7600	10.9650	10.2020	8.9560	9.2290	8.7330	8.8220	8.4080
1379357_at	8.1270	8.2690	8.5470	7.5820	8.0550	8.6350	6.4110	6.2340	6.2450	6.3970	6.2950	6.4550	8.2560	6.8620	6.9820	7.5160	7.4680	7.4150	6.3380	6.0020	6.4440	6.3210	6.3300
1379361_at	9.3000	9.3870	9.4950	9.2360	8.9200	8.8230	8.2900	7.9170	8.2390	8.3720	8.4220	8.0350	9.8590	10.9430	10.4040	10.1520	10.2450	10.2770	8.3810	8.4840	8.4300	8.4910	8.1840
1379363_at	5.0790	4.9630	4.8940	4.8850	4.8650	4.9140	6.9390	6.3790	6.6860	6.5160	7.0590	6.6300	5.3080	5.2180	5.1400	5.2150	5.1460	5.1690	6.5140	7.5500	6.8900	6.8200	6.6220
1379497_at	6.1760	6.1980	6.7200	7.8830	6.1150	7.1140	5.6900	6.1690	5.8390	5.4590	6.1070	6.0800	7.4540	7.8080	7.8720	8.6190	6.7240	8.3260	5.9670	5.9390	6.0230	6.3300	5.8700
1379499_at	7.3380	7.5830	7.5710	7.5420	7.7730	7.6470	6.9770	6.7270	6.9100	7.1720	6.9150	6.9800	8.3830	9.2720	9.3170	8.2650	8.3040	8.5060	6.8650	7.0450	6.8200	6.8450	6.8980
1379859_at	5.4630	5.5590	5.4150	5.6040	5.2840	5.4740	7.2350	7.1050	6.6550	7.1530	7.2520	6.9390	5.3670	5.3430	5.3250	5.4540	5.6050	5.6360	6.6970	7.0640	6.4960	6.7190	6.9220
1379888_at	10.2710	10.7050	9.8860	9.7370	10.8800	9.7650	7.3410	7.1570	7.0930	7.4440	7.0580	7.2950	8.1940	6.7160	8.1510	6.6960	7.1000	6.5740	6.6770	6.4120	6.8990	6.4420	6.7990
1380013_at	7.8270	7.3990	8.4270	7.3990	6.9130	7.6400	8.7120	7.9800	7.8450	9.4380	11.0270	8.5760	6.6010	6.4830	6.5770	6.4910	6.6910	6.4790	6.4380	8.4390	6.9400	6.8560	7.0880
1380094_a_at	6.9800	6.3440	6.9240	6.4550	6.6010	6.6980	5.6870	5.6440	5.7070	5.7210	5.5520	5.5290	7.2880	7.0320	7.2090	7.1770	5.5540	6.4730	5.6470	5.4130	5.5580	5.5250	5.6860
